"Country","Revenue","Expenditure","Surplus","SurplusPercent","ihdi","hdi","pbi","CorporatePercent","IncomeHighPercent","VATpercent"
"Qatar",41470,54970,-13500,-8.1,NA,NA,3.395e+11,"10","0","0"
"Rep. of the Congo",2516,3336,-820,-10.5,0.456,0.608,2.939e+10,"30",NA,"18.9"
"Romania",58500,65540,-7040,-3.4,0.725,0.816,4.834e+11,"16","10","19"
"Russia",253900,287500,-33600,-2.3,0.743,0.824,4.016e+12,"20","47","20"
"Rwanda",1874,2255,-381,-4.3,0.382,0.536,2.468e+10,"30","30","18"
"Saint Helena and Dependencies",9,22,-13,NA,NA,NA,NA,NA,NA,NA
"Saint Helena, Ascension, and Tristan da Cunha",NA,NA,NA,NA,NA,NA,31100000,NA,NA,NA
"Saint Kitts and Nevis",370,370,0,0,NA,NA,1.55e+09,"0","0",NA
"Saint Lucia",402,431,-29,-1.7,0.617,0.745,2.542e+09,NA,NA,NA
"Saint Martin",NA,NA,NA,NA,NA,NA,561500000,NA,NA,NA
"Saint Pierre and Miquelon",70,60,10,NA,NA,NA,261300000,NA,NA,NA
"Saint Vincent and the Grenadines",222,267,-37,-4.5,NA,NA,1.265e+09,NA,NA,NA
"Samoa",233,272,-39,NA,NA,NA,1.137e+09,NA,NA,NA
"San Marino",668,713,-45,-2.9,NA,NA,2.064e+09,"17","50","0"
"Sao Tome and Principe",114,123,-7,-2.5,0.507,0.609,6.86e+08,NA,NA,NA
"Sark",NA,NA,NA,NA,NA,NA,NA,"0","0","0"
"Saudi Arabia",260000,294933,-34933,NA,NA,NA,1.775e+12,"15","2.5","15"
"Senegal",3863,4474,-611,-3.8,0.347,0.514,5.48e+10,"25","50","20"
"Serbia",16250,16930,-680,-1.7,0.71,0.799,1.057e+11,"15","25","20"
"Seychelles",572,557,15,1,NA,NA,2.75e+09,"40","15","15"
"Sierra Leone",684,963,-279,-7.1,0.282,0.438,1.155e+10,NA,NA,NA
